Gene	Organism	Experiment Accession	Comparison	log2foldchange	pValue	tStatistics
ENSG00000169245	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	9.9	4.06902308284935e-10	64.4583027196633
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	9.8	0.00000618106196599982	36.7313650389248
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	9.8	0.00000552672902170454	37.0167280074564
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	9.7	0.0000241956826583152	24.7323178580294
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	9.5	0.0000606964580119202	25.1484858341347
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	9.5	0.000295646966373877	27.9250876128325
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	9.5	0.0000324348191176708	29.2840519766947
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	9.3	0.000125858986339432	25.362903963797
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '6 hour'	9	0.00026570877236	16.9659578742443
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '0 hour'	8.8	0.000487904669782393	15.0534801243896
ENSG00000169245	homo sapiens	E-GEOD-31193	'24 hour, IL28B' vs 'none'	8.6	8.48159361550661e-9	52.066820633547
ENSG00000271503	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	8.6	4.33143606947456e-10	62.7132641054513
ENSG00000169245	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	8.5	1.83401710278262e-9	68.1230874128415
ENSG00000169245	homo sapiens	E-GEOD-18816	'highly pathogenic avian influenza H5N1 virus' at '6 hour' vs 'none' at '6 hour'	8	0.00092419742543996	17.8925037418232
ENSG00000169245	homo sapiens	E-GEOD-31193	'6 hour; IFN' vs 'none'	7.9	5.8074961348469e-9	50.9251032852664
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.8	0.0000372631197179522	21.1686750731244
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.8	0.000652649311982213	17.1647380583614
ENSG00000169245	homo sapiens	E-GEOD-13637	'H5N1 influenza virus' vs 'none' in 'wild type'	7.8	3.43550009308549e-8	39.1277062169413
ENSG00000169245	homo sapiens	E-MEXP-1274	'Influenza A virus; dominant negative TLR3' vs 'none; dominant negative TLR3'	7.8	4.89910031396489e-7	23.7731707568373
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.7	0.0000554077369299868	20.0732015484514
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.7	0.00010106737181433	18.5915651538875
ENSG00000121858	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	7.7	1.00479192379878e-8	45.8636270470776
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.6	0.0000491066363379141	20.38961958397
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.6	0.0000499726466727831	20.0746278710563
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.6	0.000112051402404884	16.6509475390806
ENSG00000271503	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.6	0.00196262576665399	10.1901041122399
ENSG00000134326	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	7.6	4.06902308284935e-10	69.9994404359433
ENSG00000121858	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	7.6	1.00005586970112e-8	48.2353163862908
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.5	0.0000773826039686009	18.5984897049057
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.5	0.0000241956826583152	24.7473778739799
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.5	0.0000704504924739037	18.2444198657428
ENSG00000121858	homo sapiens	E-MEXP-1274	'Influenza A virus; dominant negative TLR3' vs 'none; dominant negative TLR3'	7.5	4.89910031396489e-7	23.6959776493914
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.4	0.0000723201997396365	18.2093310072906
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.4	0.000362639132822	16.6593056922718
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.4	0.0000220180677912518	26.4044274498459
ENSG00000271503	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	7.4	4.3462901792199e-8	31.4193558646921
ENSG00000271503	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.4	0.000428174358777602	11.4269451514662
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.3	0.000512160553526628	13.2686752167314
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '6 hour'	7.3	0.0010240164342168	11.9932738727801
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.3	0.000126026293031975	16.397268141175
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '4 hour' vs 'none' at '0 hour'	7.3	0.00660047892377286	9.09283956199336
ENSG00000271503	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	7.3	1.00479192379878e-8	46.8945477107057
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.2	0.0000436804862845724	21.2947156446774
ENSG00000271503	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.2	0.000479004592138332	10.2841238516348
ENSG00000138646	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	7.2	4.06902308284935e-10	65.7161534205089
ENSG00000271503	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	7.2	1.00479192379878e-8	45.1282338082297
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.1	0.000125755624211421	15.8306358913379
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.1	0.000400951049214023	15.6176561317112
