Gene	Organism	Experiment Accession	Comparison	log2foldchange	pValue	tStatistics
ENSG00000197919	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	10.5	0.00000133263958991471	58.2281754494985
ENSG00000197919	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	10.4	0.0000247405244528883	34.166404877284
ENSG00000197919	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	10.4	0.0000103664132544819	38.446010755774
ENSG00000185745	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	10.3	7.04601142295244e-10	57.0005219036006
ENSG00000197919	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	10.1	0.00000618106196599982	38.5832169663436
ENSG00000197919	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	10.1	0.000158197075779601	39.559825681014
ENSG00000197919	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	10	0.00000437443743768548	38.2582532170405
ENSG00000169248	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	9.9	0.00000397817073740032	40.5027868701678
ENSG00000169245	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	9.9	4.06902308284935e-10	64.4583027196633
ENSG00000169248	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	9.8	0.00000419808539789037	39.6613991758854
ENSG00000169248	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	9.8	0.0000185664246264958	33.9033096546376
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	9.8	0.00000618106196599982	36.7313650389248
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	9.8	0.00000552672902170454	37.0167280074564
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	9.7	0.0000241956826583152	24.7323178580294
ENSG00000169248	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	9.7	0.00000618106196599982	37.4920336471086
ENSG00000169248	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	9.7	0.0000606964580119202	25.6310300601511
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	9.5	0.0000606964580119202	25.1484858341347
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	9.5	0.000295646966373877	27.9250876128325
